Brand,Number of tweets,Number of customer tweets,Number of brand replies,Approx. conversations
AmazonHelp,339680,169840,169840,169840
AppleSupport,213720,106860,106860,106860
Uber_Support,112540,56270,56270,56270
SpotifyCares,86530,43265,43265,43265
Delta,84506,42253,42253,42253
Tesco,77146,38573,38573,38573
AmericanAir,73528,36764,36764,36764
TMobileHelp,68634,34317,34317,34317
comcastcares,66062,33031,33031,33031
British_Airways,58722,29361,29361,29361
SouthwestAir,57954,28977,28977,28977
VirginTrains,55634,27817,27817,27817
Ask_Spectrum,51720,25860,25860,25860
XboxSupport,49114,24557,24557,24557
sprintcare,44762,22381,22381,22381
hulu_support,43744,21872,21872,21872
sainsburys,38932,19466,19466,19466
GWRHelp,38728,19364,19364,19364
AskPlayStation,38196,19098,19098,19098
ChipotleTweets,37498,18749,18749,18749
